gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1978404391	dd31ac22-63d4-4bb4-a987-5eece5ffadb8	BRA:UTFPR:HCF:0000026647	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Estação Ecológica Municipal David	042a7696-696b-492b-ad3e-4076807eaeed	-24.288472	-52.452583			714.0	0.0			2018-11-08T00:00:00Z	8	11	2018	5529698	3599338	PRESERVED_SPECIMEN	Universidade Tecnológica Federal do Paraná (UTFPR)	HCF	26647	8592	M.G. Caxambu	2018-11-29T00:00:00Z	CC_BY_NC_4_0	HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão	M.G. Caxambu			2019-06-22T13:34:20.826Z		GEODETIC_DATUM_ASSUMED_WGS84
1978383309	1a86be2b-aa83-424a-9e55-9f6ee344fdfc	BRA:UNICENTRO:HUCO:0000007455	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Flona	6c81b062-97ab-4c42-a0bc-c1d814db7104	0.0	0.0			9999.0	0.0			2017-01-01T00:00:00Z		1	2017	5529698	3599338	PRESERVED_SPECIMEN	Universidade Estadual do Centro-Oeste (UNICENTRO)	HUCO	7455	s.n.	Lermer, J.	2017-01-01T00:00:00Z	CC_BY_NC_4_0	HUCO - Herbário da Universidade Estadual do Centro-Oeste	Lerner, J.			2018-12-23T15:39:17.215Z		COUNTRY_COORDINATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;ZERO_COORDINATE
1944972107	bc81e05b-ed51-46ba-a0a4-90fbae9b5545	BRA:CEPLAC:CEPEC:0000129398	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR		c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450									2008-07-17T00:00:00Z	17	7	2008	5529698	3599338	PRESERVED_SPECIMEN	Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)	CEPEC	129398	4809	P. H. Labiak		CC_BY_NC_4_0	CEPEC - Herbário do Centro de Pesquisas do Cacau	P. H. Labiak			2018-12-29T19:03:39.095Z		
1944962085	c525b217-2f59-4b71-a173-68d13da5e8a7	BRA:MCN-FZBRS:HAS:0000028850	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Reserva Biológica do Ibicuí-Mirim.	f9357933-83d3-4548-803c-4cae52ebff40									1990-07-01T00:00:00Z		7	1990	5529698	3599338	PRESERVED_SPECIMEN	Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)	HAS	28850	7656	Záchia, R.	1996-08-27T00:00:00Z	CC_BY_NC_4_0	HAS - Herbário Alarich Rudolf Holger Schultz	Silveira, N.			2019-04-23T13:57:31.302Z		
1930753295	d415c253-4d61-4459-9d25-4015b9084fb0	d3447ee3-08d3-418e-ba03-a926b72723a9	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR		ae447c50-b8a8-11d8-92a4-b8a03c50a862													5529698	3599338	PRESERVED_SPECIMEN	NY	NY	891493	849	J. P. Condack	2007-01-01T00:00:00Z	CC0_1_0	The New York Botanical Garden	F. Sellow			2018-12-13T21:43:37.446Z	STILLIMAGE	
1929899779	d415c253-4d61-4459-9d25-4015b9084fb0	96fbe274-0997-4914-8b0d-d19441aa1759	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Camacã: Fazenda Serra Bonita, RPPN Serra Bonita, 9.7 Km W de Camacã na estrada para Jacarecí, daí 6 Km SW na estrada para a RPPN e Torre da Embratel.	ae447c50-b8a8-11d8-92a4-b8a03c50a862	-15.3917	-39.5653			835.0	0.0			2005-02-13T00:00:00Z	13	2	2005	5529698	3599338	PRESERVED_SPECIMEN	NY	NY	02578278	447			CC0_1_0	The New York Botanical Garden	F. B. Matos			2018-12-13T20:53:10.523Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
1928632313	d415c253-4d61-4459-9d25-4015b9084fb0	3d1f4ce8-2aeb-4b3f-90fa-68bb3d7b7b9b	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	AR	Paraje Teyú Cuaré, Cerro Ozununú, parte norte del Peñon.	ae447c50-b8a8-11d8-92a4-b8a03c50a862	-27.2789	-55.57628			81.0				2010-11-13T00:00:00Z	13	11	2010	5529698	3599338	PRESERVED_SPECIMEN	NY	NY	1488123	1398	E. I. Meza Torres		CC0_1_0	The New York Botanical Garden	E. I. Meza Torres			2018-12-13T20:08:07.833Z		GEODETIC_DATUM_ASSUMED_WGS84
1928319380	d415c253-4d61-4459-9d25-4015b9084fb0	26e7f8d6-21cf-4ada-a907-50f953cd9ccc	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Município de Jussari / Palmira, Fazenda Teimoso, RPPN Serra do Teimoso.	ae447c50-b8a8-11d8-92a4-b8a03c50a862	-15.167222	-39.5375			700.0	0.0			2000-11-11T00:00:00Z	11	11	2000	5529698	3599338	PRESERVED_SPECIMEN	NY	NY	678613	1491	I. Fernandes	2000-01-01T00:00:00Z	CC0_1_0	The New York Botanical Garden	I. Fernandes			2018-12-13T20:04:22.066Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1913569931	52b78a58-c84a-4370-bb14-b27a007d5da6	BRA:UCS:HUCS:0000047720	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Serra da Bocaina, Parque Nacional	7cf67ac2-f2f2-42bd-92e4-c2eac0b21039	-22.733889	-44.616639			1513.0	0.0			2018-04-30T00:00:00Z	30	4	2018	5529698	3599338	PRESERVED_SPECIMEN	UCS	HUCS	47720	4388	Gonzatti, F.	2018-05-01T00:00:00Z	CC_BY_NC_4_0	HUCS - Herbário da Universidade de Caxias do Sul	Gonzatti, F.; Peralta, D.F.; Britto, O.			2019-05-22T16:40:10.089Z		GEODETIC_DATUM_ASSUMED_WGS84
1899744867	7741a517-ab3d-4b85-ae58-56322e44c8ce	BRA:UNICAMP:UEC:0000200132	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Parque Estadual da Serra do Mar	d073b448-6b80-4364-8c38-18d08b88797f	-23.4	-45.183333			1017.5	27.5			2009-01-01T00:00:00Z			2009	5529698	3599338	PRESERVED_SPECIMEN	UNICAMP	UEC	200132	M1861			CC_BY_NC_4_0	UEC - Herbário da Universidade Estadual de Campinas	Padgurschi, M.C.G.; Belinello, R.			2019-06-01T18:52:36.945Z		GEODETIC_DATUM_ASSUMED_WGS84
